var_names,OlinkID,Assay,UniProt,Panel,Panel_Version,Protein target,Short name,gene_name
OID20071,OID20071,VAMP5,O95183,CARDIOMETABOLIC,1,Vesicle-associated membrane protein 5 ,VAMP5,VAMP5
OID20069,OID20069,CNPY2,Q9Y2B0,CARDIOMETABOLIC,1,Protein canopy homolog 2 ,CNPY2,CNPY2
OID20179,OID20179,CBLIF,P27352,CARDIOMETABOLIC,1,Cobalamin binding intrinsic factor ,CBLIF,CBLIF
OID20286,OID20286,CORO1A,P31146,CARDIOMETABOLIC,1,Coronin-1A ,CORO1A,CORO1A
OID20273,OID20273,ALCAM,Q13740,CARDIOMETABOLIC,1,CD166 antigen ,ALCAM,ALCAM
OID20133,OID20133,PDGFRA,P16234,CARDIOMETABOLIC,1,Platelet-derived growth factor receptor alpha ,PDGFRA,PDGFRA
OID20395,OID20395,CCL18,P55774,CARDIOMETABOLIC,1,C-C motif chemokine 18 ,CCL18,CCL18
OID20157,OID20157,CDH6,P55285,CARDIOMETABOLIC,1,Cadherin-6 ,CDH6,CDH6
OID20325,OID20325,IGFBP2,P18065,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein 2 ,IGFBP2,IGFBP2
OID20196,OID20196,KITLG,P21583,CARDIOMETABOLIC,1,Kit ligand ,KITLG,KITLG
OID20341,OID20341,TCN2,P20062,CARDIOMETABOLIC,1,Transcobalamin-2 ,TCN2,TCN2
OID20407,OID20407,ANGPTL3,Q9Y5C1,CARDIOMETABOLIC,1,Angiopoietin-related protein 3 ,ANGPTL3,ANGPTL3
OID20104,OID20104,ENTPD5,O75356,CARDIOMETABOLIC,1,Ectonucleoside triphosphate diphosphohydrolase 5 ,ENTPD5,ENTPD5
OID20096,OID20096,GZMH,P20718,CARDIOMETABOLIC,1,Granzyme H ,GZMH,GZMH
OID20261,OID20261,FUCA1,P04066,CARDIOMETABOLIC,1,Tissue alpha-L-fucosidase ,FUCA1,FUCA1
OID20138,OID20138,DOK2,O60496,CARDIOMETABOLIC,1,Docking protein 2 ,DOK2,DOK2
OID20175,OID20175,GHRL,Q9UBU3,CARDIOMETABOLIC,1,Appetite-regulating hormone ,GHRL,GHRL
OID20144,OID20144,PLPBP,O94903,CARDIOMETABOLIC,1,Pyridoxal phosphate homeostasis protein ,PLPBP,PLPBP
OID20260,OID20260,CD97,P48960,CARDIOMETABOLIC,1,CD97 antigen ,CD97,ADGRE5
OID20254,OID20254,LTBP2,Q14767,CARDIOMETABOLIC,1,Latent-transforming growth factor beta-binding protein 2 ,LTBP2,LTBP2
OID20113,OID20113,CTSH,P09668,CARDIOMETABOLIC,1,Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H ,CTSH,CTSH
OID20302,OID20302,ST6GAL1,P15907,CARDIOMETABOLIC,1,"Beta-galactoside alpha-2,6-sialyltransferase 1 ",ST6GAL1,ST6GAL1
OID20344,OID20344,DEFA1_DEFA1B,P59665,CARDIOMETABOLIC,1,Neutrophil defensin 1 ,DEFA1_DEFA1B,DEFA1B
OID20360,OID20360,CD163,Q86VB7,CARDIOMETABOLIC,1,Scavenger receptor cysteine-rich type 1 protein M130 ,CD163,CD163
OID20377,OID20377,CD55,P08174,CARDIOMETABOLIC,1,Complement decay-accelerating factor ,CD55,CD55
OID20143,OID20143,PLIN3,O60664,CARDIOMETABOLIC,1,Perilipin-3 ,PLIN3,PLIN3
OID20122,OID20122,AK1,P00568,CARDIOMETABOLIC,1,Adenylate kinase isoenzyme 1 ,AK1,AK1
OID20167,OID20167,IGSF8,Q969P0,CARDIOMETABOLIC,1,Immunoglobulin superfamily member 8 ,IGSF8,IGSF8
OID20408,OID20408,PTGDS,P41222,CARDIOMETABOLIC,1,Prostaglandin-H2 D-isomerase ,PTGDS,PTGDS
OID20359,OID20359,TNC,P24821,CARDIOMETABOLIC,1,Tenascin ,TNC,TNC
OID20410,OID20410,C2,P06681,CARDIOMETABOLIC,1,Complement C2 ,C2,C2
OID20109,OID20109,ADAM15,Q13444,CARDIOMETABOLIC,1,Disintegrin and metalloproteinase domain-containing protein 15 ,ADAM15,ADAM15
OID20290,OID20290,SELE,P16581,CARDIOMETABOLIC,1,E-selectin ,SELE,SELE
OID20257,OID20257,PEAR1,Q5VY43,CARDIOMETABOLIC,1,Platelet endothelial aggregation receptor 1 ,PEAR1,PEAR1
OID20107,OID20107,GLO1,Q04760,CARDIOMETABOLIC,1,Lactoylglutathione lyase ,GLO1,GLO1
OID20312,OID20312,CHIT1,Q13231,CARDIOMETABOLIC,1,Chitotriosidase-1 ,CHIT1,CHIT1
OID20314,OID20314,ACP5,P13686,CARDIOMETABOLIC,1,Tartrate-resistant acid phosphatase type 5 ,ACP5,ACP5
OID20386,OID20386,SOD1,P00441,CARDIOMETABOLIC,1,Superoxide dismutase [Cu-Zn] ,SOD1,SOD1
OID20292,OID20292,COL6A3,P12111,CARDIOMETABOLIC,1,Collagen alpha-3,COL6A3,COL6A3
OID20350,OID20350,ANPEP,P15144,CARDIOMETABOLIC,1,Aminopeptidase N ,ANPEP,ANPEP
OID20241,OID20241,CA4,P22748,CARDIOMETABOLIC,1,Carbonic anhydrase 4 ,CA4,CA4
OID20358,OID20358,CTSD,P07339,CARDIOMETABOLIC,1,Cathepsin D ,CTSD,CTSD
OID20266,OID20266,REG1B,P48304,CARDIOMETABOLIC,1,Lithostathine-1-beta ,REG1B,REG1B
OID20413,OID20413,IGFBP6,P24592,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein 6 ,IGFBP6,IGFBP6
OID20203,OID20203,RNASE3,P12724,CARDIOMETABOLIC,1,Eosinophil cationic protein ,RNASE3,RNASE3
OID20220,OID20220,GH1,P01241,CARDIOMETABOLIC,1,Somatotropin ,GH1,GH1
OID20171,OID20171,MCFD2,Q8NI22,CARDIOMETABOLIC,1,Multiple coagulation factor deficiency protein 2 ,MCFD2,MCFD2
OID20100,OID20100,ENTPD6,O75354,CARDIOMETABOLIC,1,Ectonucleoside triphosphate diphosphohydrolase 6 ,ENTPD6,ENTPD6
OID20050,OID20050,TNNI3,P19429,CARDIOMETABOLIC,1,"Troponin I, cardiac muscle ",TNNI3,TNNI3
OID20101,OID20101,IL6,P05231,CARDIOMETABOLIC,1,Interleukin-6 ,IL6,IL6
OID20361,OID20361,SPARCL1,Q14515,CARDIOMETABOLIC,1,SPARC-like protein 1 ,SPARCL1,SPARCL1
OID20077,OID20077,STK11,Q15831,CARDIOMETABOLIC,1,Serine/threonine-protein kinase STK11 ,STK11,STK11
OID20379,OID20379,SELP,P16109,CARDIOMETABOLIC,1,P-selectin ,SELP,SELP
OID20293,OID20293,CST6,Q15828,CARDIOMETABOLIC,1,Cystatin-M ,CST6,CST6
OID20194,OID20194,THOP1,P52888,CARDIOMETABOLIC,1,Thimet oligopeptidase ,THOP1,THOP1
OID20387,OID20387,FCGR3B,O75015,CARDIOMETABOLIC,1,Low affinity immunoglobulin gamma Fc region receptor III-B ,FCGR3B,FCGR3B
OID20210,OID20210,MARCO,Q9UEW3,CARDIOMETABOLIC,1,Macrophage receptor MARCO ,MARCO,MARCO
OID20389,OID20389,AOC3,Q16853,CARDIOMETABOLIC,1,Membrane primary amine oxidase ,AOC3,AOC3
OID20307,OID20307,CNTN1,Q12860,CARDIOMETABOLIC,1,Contactin-1 ,CNTN1,CNTN1
OID20212,OID20212,PRSS27,Q9BQR3,CARDIOMETABOLIC,1,Serine protease 27 ,PRSS27,PRSS27
OID20217,OID20217,HMOX1,P09601,CARDIOMETABOLIC,1,Heme oxygenase 1 ,HMOX1,HMOX1
OID20372,OID20372,F7,P08709,CARDIOMETABOLIC,1,Coagulation factor VII ,F7,F7
OID20205,OID20205,NPDC1,Q9NQX5,CARDIOMETABOLIC,1,Neural proliferation differentiation and control protein 1 ,NPDC1,NPDC1
OID20289,OID20289,CPB1,P15086,CARDIOMETABOLIC,1,Carboxypeptidase B ,CPB1,CPB1
OID20199,OID20199,AHCY,P23526,CARDIOMETABOLIC,1,Adenosylhomocysteinase ,AHCY,AHCY
OID20340,OID20340,AMY2B,P19961,CARDIOMETABOLIC,1,Alpha-amylase 2B ,AMY2B,AMY2B
OID20231,OID20231,THBD,P07204,CARDIOMETABOLIC,1,Thrombomodulin ,THBD,THBD
OID20211,OID20211,ANGPTL1,O95841,CARDIOMETABOLIC,1,Angiopoietin-related protein 1 ,ANGPTL1,ANGPTL1
OID20208,OID20208,COL4A1,P02462,CARDIOMETABOLIC,1,Collagen alpha-1,COL4A1,COL4A1
OID20219,OID20219,SERPINA12,Q8IW75,CARDIOMETABOLIC,1,Serpin A12 ,SERPINA12,SERPINA12
OID20166,OID20166,GSTA1,P08263,CARDIOMETABOLIC,1,Glutathione S-transferase A1 ,GSTA1,GSTA1
OID20200,OID20200,FABP2,P12104,CARDIOMETABOLIC,1,"Fatty acid-binding protein, intestinal ",FABP2,FABP2
OID20262,OID20262,CD209,Q9NNX6,CARDIOMETABOLIC,1,CD209 antigen ,CD209,CD209
OID20259,OID20259,XG,P55808,CARDIOMETABOLIC,1,Glycoprotein Xg ,XG,XG
OID20320,OID20320,QPCT,Q16769,CARDIOMETABOLIC,1,Glutaminyl-peptide cyclotransferase ,QPCT,QPCT
OID20270,OID20270,ESAM,Q96AP7,CARDIOMETABOLIC,1,Endothelial cell-selective adhesion molecule,ESAM,ESAM
OID20280,OID20280,CPA1,P15085,CARDIOMETABOLIC,1,Carboxypeptidase A1 ,CPA1,CPA1
OID20222,OID20222,NECTIN2,Q92692,CARDIOMETABOLIC,1,Nectin-2 ,NECTIN2,NECTIN2
OID20335,OID20335,COL1A1,P02452,CARDIOMETABOLIC,1,Collagen alpha-1,COL1A1,COL1A1
OID20224,OID20224,ROR1,Q01973,CARDIOMETABOLIC,1,Inactive tyrosine-protein kinase transmembrane receptor ROR1 ,ROR1,ROR1
OID20322,OID20322,SPP1,P10451,CARDIOMETABOLIC,1,Osteopontin ,SPP1,SPP1
OID20189,OID20189,ADGRG2,Q8IZP9,CARDIOMETABOLIC,1,Adhesion G-protein coupled receptor G2 ,ADGRG2,ADGRG2
OID20232,OID20232,KYAT1,Q16773,CARDIOMETABOLIC,1,Kynurenine--oxoglutarate transaminase 1 ,KYAT1,KYAT1
OID20188,OID20188,LPL,P06858,CARDIOMETABOLIC,1,Lipoprotein lipase ,LPL,LPL
OID20163,OID20163,PDCD6,O75340,CARDIOMETABOLIC,1,Programmed cell death protein 6 ,PDCD6,PDCD6
OID20051,OID20051,HNRNPK,P61978,CARDIOMETABOLIC,1,Heterogeneous nuclear ribonucleoprotein K ,HNRNPK,HNRNPK
OID20127,OID20127,CNST,Q6PJW8,CARDIOMETABOLIC,1,Consortin,CNST,CNST
OID20131,OID20131,VSIR,Q9H7M9,CARDIOMETABOLIC,1,V-type immunoglobulin domain-containing suppressor of T-cell activation ,VSIR,VSIR
OID20118,OID20118,CLTA,P09496,CARDIOMETABOLIC,1,Clathrin light chain A ,CLTA,CLTA
OID20066,OID20066,GRK5,P34947,CARDIOMETABOLIC,1,G protein-coupled receptor kinase 5 ,GRK5,GRK5
OID20053,OID20053,VIM,P08670,CARDIOMETABOLIC,1,Vimentin,VIM,VIM
OID20119,OID20119,EPHX2,P34913,CARDIOMETABOLIC,1,Bifunctional epoxide hydrolase 2 [Includes: Cytosolic epoxide hydrolase 2 ,EPHX2,EPHX2
OID20049,OID20049,NPPB,P16860,CARDIOMETABOLIC,1,Natriuretic peptides B ,NPPB,NPPB
OID20309,OID20309,AZU1,P20160,CARDIOMETABOLIC,1,Azurocidin ,AZU1,AZU1
OID20121,OID20121,CCL27,Q9Y4X3,CARDIOMETABOLIC,1,C-C motif chemokine 27 ,CCL27,CCL27
OID20058,OID20058,TCL1B,O95988,CARDIOMETABOLIC,1,T-cell leukemia/lymphoma protein 1B ,TCL1B,TCL1B
OID20256,OID20256,VWF,P04275,CARDIOMETABOLIC,1,von Willebrand factor ,VWF,VWF
OID20147,OID20147,IL6ST,P40189,CARDIOMETABOLIC,1,Interleukin-6 receptor subunit beta ,IL6ST,IL6ST
OID20238,OID20238,PLTP,P55058,CARDIOMETABOLIC,1,Phospholipid transfer protein ,PLTP,PLTP
OID20160,OID20160,PLXNB3,Q9ULL4,CARDIOMETABOLIC,1,Plexin-B3,PLXNB3,PLXNB3
OID20061,OID20061,CTF1,Q16619,CARDIOMETABOLIC,1,Cardiotrophin-1 ,CTF1,CTF1
OID20151,OID20151,FADD,Q13158,CARDIOMETABOLIC,1,FAS-associated death domain protein ,FADD,FADD
OID20235,OID20235,PCSK9,Q8NBP7,CARDIOMETABOLIC,1,Proprotein convertase subtilisin/kexin type 9 ,PCSK9,PCSK9
OID20323,OID20323,LILRB1,Q8NHL6,CARDIOMETABOLIC,1,Leukocyte immunoglobulin-like receptor subfamily B member 1 ,LILRB1,LILRB1
OID20417,OID20417,TGFBI,Q15582,CARDIOMETABOLIC,1,Transforming growth factor-beta-induced protein ig-h3 ,TGFBI,TGFBI
OID20305,OID20305,CASP3,P42574,CARDIOMETABOLIC,1,Caspase-3 ,CASP3,CASP3
OID20284,OID20284,LGALS3,P17931,CARDIOMETABOLIC,1,Galectin-3 ,LGALS3,LGALS3
OID20393,OID20393,CR2,P20023,CARDIOMETABOLIC,1,Complement receptor type 2 ,CR2,CR2
OID20278,OID20278,DPT,Q07507,CARDIOMETABOLIC,1,Dermatopontin ,DPT,DPT
OID20078,OID20078,TSPAN1,O60635,CARDIOMETABOLIC,1,Tetraspanin-1 ,TSPAN1,TSPAN1
OID20366,OID20366,CHL1,O00533,CARDIOMETABOLIC,1,Neural cell adhesion molecule L1-like protein ,CHL1,CHL1
OID20052,OID20052,CEBPB,P17676,CARDIOMETABOLIC,1,CCAAT/enhancer-binding protein beta ,CEBPB,CEBPB
OID20252,OID20252,PLA2G1B,P04054,CARDIOMETABOLIC,1,Phospholipase A2 ,PLA2G1B,PLA2G1B
OID20140,OID20140,STK4,Q13043,CARDIOMETABOLIC,1,Serine/threonine-protein kinase 4 ,STK4,STK4
OID20285,OID20285,MEGF9,Q9H1U4,CARDIOMETABOLIC,1,Multiple epidermal growth factor-like domains protein 9 ,MEGF9,MEGF9
OID20132,OID20132,PCDH17,O14917,CARDIOMETABOLIC,1,Protocadherin-17 ,PCDH17,PCDH17
OID20348,OID20348,IL18BP,O95998,CARDIOMETABOLIC,1,Interleukin-18-binding protein ,IL18BP,IL18BP
OID20209,OID20209,LILRA5,A6NI73,CARDIOMETABOLIC,1,Leukocyte immunoglobulin-like receptor subfamily A member 5 ,LILRA5,LILRA5
OID20291,OID20291,PAM,P19021,CARDIOMETABOLIC,1,Peptidyl-glycine alpha-amidating monooxygenase ,PAM,PAM
OID20318,OID20318,GAS6,Q14393,CARDIOMETABOLIC,1,Growth arrest-specific protein 6 ,GAS6,GAS6
OID20156,OID20156,MNDA,P41218,CARDIOMETABOLIC,1,Myeloid cell nuclear differentiation antigen,MNDA,MNDA
OID20240,OID20240,LDLR,P01130,CARDIOMETABOLIC,1,Low-density lipoprotein receptor ,LDLR,LDLR
OID20269,OID20269,MET,P08581,CARDIOMETABOLIC,1,Hepatocyte growth factor receptor ,MET,MET
OID20184,OID20184,DIABLO,Q9NR28,CARDIOMETABOLIC,1,"Diablo homolog, mitochondrial ",DIABLO,DIABLO
OID20190,OID20190,SIGLEC7,Q9Y286,CARDIOMETABOLIC,1,Sialic acid-binding Ig-like lectin 7 ,SIGLEC7,SIGLEC7
OID20123,OID20123,ANXA4,P09525,CARDIOMETABOLIC,1,Annexin A4 ,ANXA4,ANXA4
OID20126,OID20126,CLC,Q05315,CARDIOMETABOLIC,1,Galectin-10 ,CLC,CLC
OID20245,OID20245,FABP4,P15090,CARDIOMETABOLIC,1,"Fatty acid-binding protein, adipocyte ",FABP4,FABP4
OID20337,OID20337,PRCP,P42785,CARDIOMETABOLIC,1,Lysosomal Pro-X carboxypeptidase ,PRCP,PRCP
OID20226,OID20226,CCDC80,Q76M96,CARDIOMETABOLIC,1,Coiled-coil domain-containing protein 80 ,CCDC80,CCDC80
OID20092,OID20092,MPHOSPH8,Q99549,CARDIOMETABOLIC,1,M-phase phosphoprotein 8 ,MPHOSPH8,MPHOSPH8
OID20331,OID20331,PPIB,P23284,CARDIOMETABOLIC,1,Peptidyl-prolyl cis-trans isomerase B ,PPIB,PPIB
OID20214,OID20214,SFTPD,P35247,CARDIOMETABOLIC,1,Pulmonary surfactant-associated protein D ,SFTPD,SFTPD
OID20316,OID20316,FAS,P25445,CARDIOMETABOLIC,1,Tumor necrosis factor receptor superfamily member 6 ,FAS,FAS
OID20161,OID20161,TYRO3,Q06418,CARDIOMETABOLIC,1,Tyrosine-protein kinase receptor TYRO3 ,TYRO3,TYRO3
OID20125,OID20125,NTproBNP,NTproBNP,CARDIOMETABOLIC,1,NTproBNP,NTproBNP,NTproBNP
OID20087,OID20087,MMP7,P09237,CARDIOMETABOLIC,1,Matrilysin ,MMP7,MMP7
OID20064,OID20064,SERPINB5,P36952,CARDIOMETABOLIC,1,Serpin B5 ,SERPINB5,SERPINB5
OID20164,OID20164,APLP1,P51693,CARDIOMETABOLIC,1,Amyloid-like protein 1 ,APLP1,APLP1
OID20191,OID20191,NPTXR,O95502,CARDIOMETABOLIC,1,Neuronal pentraxin receptor,NPTXR,NPTXR
OID20295,OID20295,DLK1,P80370,CARDIOMETABOLIC,1,Protein delta homolog 1 ,DLK1,DLK1
OID20142,OID20142,DPP7,Q9UHL4,CARDIOMETABOLIC,1,Dipeptidyl peptidase 2 ,DPP7,DPP7
OID20236,OID20236,IGFBP7,Q16270,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein 7 ,IGFBP7,IGFBP7
OID20137,OID20137,ACY1,Q03154,CARDIOMETABOLIC,1,Aminoacylase-1 ,ACY1,ACY1
OID20124,OID20124,ACOX1,Q15067,CARDIOMETABOLIC,1,Peroxisomal acyl-coenzyme A oxidase 1 ,ACOX1,ACOX1
OID20242,OID20242,EPHB4,P54760,CARDIOMETABOLIC,1,Ephrin type-B receptor 4 ,EPHB4,EPHB4
OID20103,OID20103,S100P,P25815,CARDIOMETABOLIC,1,Protein S100-P ,S100P,S100P
OID20116,OID20116,BOC,Q9BWV1,CARDIOMETABOLIC,1,Brother of CDO ,BOC,BOC
OID20274,OID20274,PLA2G2A,P14555,CARDIOMETABOLIC,1,"Phospholipase A2, membrane associated ",PLA2G2A,PLA2G2A
OID20272,OID20272,TNFSF13B,Q9Y275,CARDIOMETABOLIC,1,Tumor necrosis factor ligand superfamily member 13B ,TNFSF13B,TNFSF13B
OID20201,OID20201,REN,P00797,CARDIOMETABOLIC,1,Renin ,REN,REN
OID20117,OID20117,ADH4,P08319,CARDIOMETABOLIC,1,All-trans-retinol dehydrogenase [NAD,ADH4,ADH4
OID20093,OID20093,DNAJB8,Q8NHS0,CARDIOMETABOLIC,1,DnaJ homolog subfamily B member 8,DNAJB8,DNAJB8
OID20376,OID20376,ITGB1,P05556,CARDIOMETABOLIC,1,Integrin beta-1 ,ITGB1,ITGB1
OID20369,OID20369,TFRC,P02786,CARDIOMETABOLIC,1,Transferrin receptor protein 1 ,TFRC,TFRC
OID20079,OID20079,ACTA2,P62736,CARDIOMETABOLIC,1,"Actin, aortic smooth muscle ",ACTA2,ACTA2
OID20090,OID20090,GP2,P55259,CARDIOMETABOLIC,1,Pancreatic secretory granule membrane major glycoprotein GP2 ,GP2,GP2
OID20297,OID20297,SCARF1,Q14162,CARDIOMETABOLIC,1,Scavenger receptor class F member 1 ,SCARF1,SCARF1
OID20308,OID20308,BPIFB1,Q8TDL5,CARDIOMETABOLIC,1,BPI fold-containing family B member 1 ,BPIFB1,BPIFB1
OID20128,OID20128,LEPR,P48357,CARDIOMETABOLIC,1,Leptin receptor ,LEPR,LEPR
OID20255,OID20255,TGFBR3,Q03167,CARDIOMETABOLIC,1,Transforming growth factor beta receptor type 3 ,TGFBR3,TGFBR3
OID20332,OID20332,COL18A1,P39060,CARDIOMETABOLIC,1,Collagen alpha-1,COL18A1,COL18A1
OID20249,OID20249,ADAMTS13,Q76LX8,CARDIOMETABOLIC,1,A disintegrin and metalloproteinase with thrombospondin motifs 13 ,ADAMTS13,ADAMTS13
OID20073,OID20073,RCOR1,Q9UKL0,CARDIOMETABOLIC,1,REST corepressor 1 ,RCOR1,RCOR1
OID20130,OID20130,S100A11,P31949,CARDIOMETABOLIC,1,Protein S100-A11 ,S100A11,S100A11
OID20076,OID20076,FABP6,P51161,CARDIOMETABOLIC,1,Gastrotropin ,FABP6,FABP6
OID20394,OID20394,ADA2,Q9NZK5,CARDIOMETABOLIC,1,Adenosine deaminase 2 ,ADA2,ADA2
OID20185,OID20185,LRP11,Q86VZ4,CARDIOMETABOLIC,1,Low-density lipoprotein receptor-related protein 11 ,LRP11,LRP11
OID20399,OID20399,CHI3L1,P36222,CARDIOMETABOLIC,1,Chitinase-3-like protein 1 ,CHI3L1,CHI3L1
OID20248,OID20248,ICAM2,P13598,CARDIOMETABOLIC,1,Intercellular adhesion molecule 2 ,ICAM2,ICAM2
OID20192,OID20192,GRAP2,O75791,CARDIOMETABOLIC,1,GRB2-related adapter protein 2 ,GRAP2,GRAP2
OID20111,OID20111,BMP6,P22004,CARDIOMETABOLIC,1,Bone morphogenetic protein 6 ,BMP6,BMP6
OID20158,OID20158,IL19,Q9UHD0,CARDIOMETABOLIC,1,Interleukin-19 ,IL19,IL19
OID20088,OID20088,PON2,Q15165,CARDIOMETABOLIC,1,Serum paraoxonase/arylesterase 2 ,PON2,PON2
OID20105,OID20105,ACE2,Q9BYF1,CARDIOMETABOLIC,1,Angiotensin-converting enzyme 2 ,ACE2,ACE2
OID20303,OID20303,TIE1,P35590,CARDIOMETABOLIC,1,Tyrosine-protein kinase receptor Tie-1 ,TIE1,TIE1
OID20294,OID20294,CSTB,P04080,CARDIOMETABOLIC,1,Cystatin-B ,CSTB,CSTB
OID20221,OID20221,SPON2,Q9BUD6,CARDIOMETABOLIC,1,Spondin-2 ,SPON2,SPON2
OID20155,OID20155,IGFBPL1,Q8WX77,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein-like 1 ,IGFBPL1,IGFBPL1
OID20251,OID20251,GDF15,Q99988,CARDIOMETABOLIC,1,Growth/differentiation factor 15 ,GDF15,GDF15
OID20336,OID20336,BLMH,Q13867,CARDIOMETABOLIC,1,Bleomycin hydrolase ,BLMH,BLMH
OID20173,OID20173,GPNMB,Q14956,CARDIOMETABOLIC,1,Transmembrane glycoprotein NMB ,GPNMB,GPNMB
OID20207,OID20207,CXCL5,P42830,CARDIOMETABOLIC,1,C-X-C motif chemokine 5 ,CXCL5,CXCL5
OID20334,OID20334,CCL16,O15467,CARDIOMETABOLIC,1,C-C motif chemokine 16 ,CCL16,CCL16
OID20415,OID20415,REG1A,P05451,CARDIOMETABOLIC,1,Lithostathine-1-alpha ,REG1A,REG1A
OID20178,OID20178,NADK,O95544,CARDIOMETABOLIC,1,NAD kinase ,NADK,NADK
OID20306,OID20306,PTPRS,Q13332,CARDIOMETABOLIC,1,Receptor-type tyrosine-protein phosphatase S ,PTPRS,PTPRS
OID20367,OID20367,C1QTNF1,Q9BXJ1,CARDIOMETABOLIC,1,Complement C1q tumor necrosis factor-related protein 1 ,C1QTNF1,C1QTNF1
OID20258,OID20258,REG3A,Q06141,CARDIOMETABOLIC,1,Regenerating islet-derived protein 3-alpha ,REG3A,REG3A
OID20234,OID20234,TYMP,P19971,CARDIOMETABOLIC,1,Thymidine phosphorylase ,TYMP,TYMP
OID20392,OID20392,LCN2,P80188,CARDIOMETABOLIC,1,Neutrophil gelatinase-associated lipocalin ,LCN2,LCN2
OID20397,OID20397,CD93,Q9NPY3,CARDIOMETABOLIC,1,Complement component C1q receptor ,CD93,CD93
OID20204,OID20204,SOST,Q9BQB4,CARDIOMETABOLIC,1,Sclerostin,SOST,SOST
OID20409,OID20409,CA1,P00915,CARDIOMETABOLIC,1,Carbonic anhydrase 1 ,CA1,CA1
OID20150,OID20150,LACTB2,Q53H82,CARDIOMETABOLIC,1,Endoribonuclease LACTB2 ,LACTB2,LACTB2
